source,category,signal_tier,learning_type,title,provider,country,language,subtype,popularity,kotlin_confidence,url
university_website,university_page,primary,formal,LPU Skill Development: Android App Development Course,Lovely Professional University,India,,,,0.8,https://www.lpu.in/skilldevelopment/Details/1332/android-app-masters-design-to-deployment
university_website,university_page,primary,formal,LPU,Lovely Professional University,India,,,,0.8,https://www.lpu.in/skilldevelopment/Details/1419/-android-for-beginners-build-your-first-app
university_website,university_page,secondary,formal,EDA & Machine Learning Basics | LPU Skill Development,Lovely Professional University,India,,,,0.4,https://www.lpu.in/skilldevelopment/Details/1160/analyze-to-automate-core-eda-ml-concepts
university_website,university_page,primary,formal,How to be a Master of a Programming Language? - Happenings@LPU,Lovely Professional University,India,,,,0.8,https://happenings.lpu.in/how-to-be-a-master-of-a-programming-language
university_website,university_page,primary,formal,Top 5 Programming Languages to Rule the Next Decade,Lovely Professional University,India,,,,0.8,https://happenings.lpu.in/top-5-programming-languages-to-rule-the-next-decade
university_website,university_page,primary,formal,Honours in Software Application Development Course At KJSSE,Somaiya Vidyavihar,India,,,,0.8,https://kjsce.somaiya.edu/en/programme/comp/honours-in-software-application-development
university_website,university_page,primary,formal,"PDF Progressive Web Applications, a New Way for Faster Testing of Mobile ...",Somaiya Vidyavihar,India,,document,,0.8,https://svu-naac.somaiya.edu/C3/DVV/3.4.5/Confernce+and+Book+Chapter/56.pdf
university_website,university_page,secondary,formal,What is Mobile Development? - ECPI University,ECPI University,United States,,article,,0.4,https://www.ecpi.edu/blog/what-is-mobile-app-development
university_website,university_page,secondary,formal,Security Engineering Contractor (potential for FT),ECPI University,United States,,,,0.4,https://careerservices.ecpi.edu/jobs/rxdiet-security-engineering-contractor-potential-for-ft
university_website,university_page,primary,formal,Georgia Gwinnett College - ITEC 2130,Georgia Gwinnett College,United States,,,,0.8,https://www.smcrae2.domains.ggc.edu/index.html
university_website,university_page,primary,formal,Glencoe Life Iscience Modules From Bacteria To Plants Grade 6 Student ...,International Technological University,United States,,,,0.8,https://learnmore.itu.edu/display?FilesData=Glencoe_Life_Iscience_Modules_From_Bacteria_To_Plants_Grade_6_Student_Edition_Glen_Sci_From_Bacteria_To_Plt.pdf&docid=D44k910
university_website,university_page,primary,formal,Kotlin Language for Java Developers - International Conference on ...,NorthCap University,India,,,,0.8,https://iscs2025.ncuindia.edu/courses/kotlin-for-java-developers
university_website,university_page,primary,formal,Home 5 - International Conference on Sustainability,NorthCap University,India,,,,0.8,https://iscs2025.ncuindia.edu/home-5
university_website,university_page,secondary,formal,Home 3 (Onepage) - International Conference on Sustainability,NorthCap University,India,,,,0.4,https://iscs2025.ncuindia.edu/home-3-onepage
university_website,university_page,secondary,formal,Home 3 - Sait International Conference,NorthCap University,India,,,,0.4,https://sait.ncuindia.edu/home-3
university_website,university_page,secondary,formal,Home 4 - International Conference on Sustainability,NorthCap University,India,,,,0.4,https://stride.ncuindia.edu/home-4
university_website,university_page,primary,formal,Kotlin Language for Java Developers - International Conference Times 2024,NorthCap University,India,,,,0.8,https://times.ncuindia.edu/courses/kotlin-for-java-developers
university_website,university_page,secondary,formal,Home 4 - Sait International Conference,NorthCap University,India,,,,0.4,https://sait.ncuindia.edu/home-4
university_website,university_page,primary,formal,Home 3 - International Conference Times 2025,NorthCap University,India,,,,0.8,https://times.ncuindia.edu/home-3
university_website,university_page,secondary,formal,Home 5 (Onepage) - International Conference Times 2026,NorthCap University,India,,,,0.4,https://times.ncuindia.edu/home-5-onepage
university_website,university_page,secondary,formal,Home 6 (Onepage) - International Conference Times 2026,NorthCap University,India,,,,0.4,https://times.ncuindia.edu/home-6-onepage
university_website,university_page,secondary,formal,Home 5 (Onepage) - International Conference on Sustainability,NorthCap University,India,,,,0.4,https://iscs2025.ncuindia.edu/home-5-onepage
university_website,university_page,primary,formal,Home 5 - International Conference on Sustainability,NorthCap University,India,,,,0.8,https://stride.ncuindia.edu/home-5
